ROI #,angle of global coherency,angle of global coherency in degree,subfolder,age,,,,
1,-0.41521,156.2101,RHO_KO_1month_Tier2,RhoKO,,,,
2,1.2104,69.3524,RHO_KO_1month_Tier2,RhoKO,,,,
3,1.4033,80.4007,RHO_KO_1month_Tier2,RhoKO,,,,
4,0.9443,54.1043,RHO_KO_1month_Tier2,RhoKO,,,,
1,-0.86161,130.6332,RHO_KO_1month_Tier2,RhoKO,,,,
2,0.94144,53.9406,RHO_KO_1month_Tier2,RhoKO,,,,
3,-0.95002,125.5679,RHO_KO_1month_Tier2,RhoKO,,,,
1,-0.83314,132.2645,RHO_KO_1month_Tier2,RhoKO,,,,
2,-0.6688,141.6803,RHO_KO_1month_Tier2,RhoKO,,,,
3,-1.2299,109.5305,RHO_KO_1month_Tier2,RhoKO,,,,
4,-1.1523,113.9758,RHO_KO_1month_Tier2,RhoKO,,,,
5,1.0324,59.1506,RHO_KO_1month_Tier2,RhoKO,,,,
1,0.88334,50.6119,RHO_KO_1month_Tier2,RhoKO,,,,
2,-1.4231,98.4626,RHO_KO_1month_Tier2,RhoKO,,,,
3,-1.4177,98.7728,RHO_KO_1month_Tier2,RhoKO,,,,
4,0.86189,49.3827,RHO_KO_1month_Tier2,RhoKO,,,,
5,-0.71807,138.8574,RHO_KO_1month_Tier2,RhoKO,,,,
6,-1.1855,112.0765,RHO_KO_1month_Tier2,RhoKO,,,,
7,-1.4855,94.8875,RHO_KO_1month_Tier2,RhoKO,,,,
8,-1.3672,101.6662,RHO_KO_1month_Tier2,RhoKO,,,,#REF!
9,-1.4299,98.071,RHO_KO_1month_Tier2,RhoKO,,,,#REF!
