ROI #,angle of global coherency,angle of global coherency in degree,subfolder,input image,age
1,-1.2116,110.5779,P16_Tier2,G77_3_P16_C3_008_M.bmp,P16
2,-0.99988,122.7108,P16_Tier2,G77_3_P16_C3_008_M.bmp,P16
1,-1.1499,114.1134,P16_Tier2,G77_3_P16_C3_009_M.bmp,P16
2,-1.3495,102.6806,P16_Tier2,G77_3_P16_C3_009_M.bmp,P16
3,-1.104,116.746,P16_Tier2,G77_3_P16_C3_009_M.bmp,P16
4,1.0411,59.6491,P16_Tier2,G77_3_P16_C3_009_M.bmp,P16
5,-0.87195,130.0411,P16_Tier2,G77_3_P16_C3_009_M.bmp,P16
1,-1.0906,117.5131,P16_Tier2,G77_3_P16_C3_019_M.bmp,P16
2,-1.0533,119.6507,P16_Tier2,G77_3_P16_C3_019_M.bmp,P16
3,-1.0197,121.5751,P16_Tier2,G77_3_P16_C3_019_M.bmp,P16
4,-0.94809,125.6786,P16_Tier2,G77_3_P16_C3_019_M.bmp,P16
5,-1.0893,117.5877,P16_Tier2,G77_3_P16_C3_019_M.bmp,P16
6,-1.03,120.9868,P16_Tier2,G77_3_P16_C3_019_M.bmp,P16
7,-1.1104,116.3797,P16_Tier2,G77_3_P16_C3_019_M.bmp,P16
8,-1.0179,121.6805,P16_Tier2,G77_3_P16_C3_019_M.bmp,P16
1,-0.52144,150.1235,P16_Tier2,G77_3_P16_C3_021_M.bmp,P16
2,-0.95417,125.33,P16_Tier2,G77_3_P16_C3_021_M.bmp,P16
3,-1.1941,111.5829,P16_Tier2,G77_3_P16_C3_021_M.bmp,P16
4,-1.4973,94.2112,P16_Tier2,G77_3_P16_C3_021_M.bmp,P16
1,-1.0533,119.653,P16_Tier2,G77_3_P16_C3_030_M.bmp,P16
2,-1.0748,118.4192,P16_Tier2,G77_3_P16_C3_030_M.bmp,P16
3,-0.98869,123.3522,P16_Tier2,G77_3_P16_C3_030_M.bmp,P16
4,-1.257,107.9795,P16_Tier2,G77_3_P16_C3_030_M.bmp,P16
